Date,Home Team,Away Team,Home Goals,Away Goals,Referee
Aug 10 2018 - 7:00pm,Manchester United,Leicester City,2,1,Andre Marriner
Aug 11 2018 - 11:30am,Newcastle United,Tottenham Hotspur,1,2,Martin Atkinson
Aug 11 2018 - 2:00pm,AFC Bournemouth,Cardiff City,2,0,Kevin Friend
Aug 11 2018 - 2:00pm,Fulham,Crystal Palace,0,2,Mike Dean
Aug 11 2018 - 2:00pm,Huddersfield Town,Chelsea,0,3,Chris Kavanagh
Aug 11 2018 - 2:00pm,Watford,Brighton & Hove Albion,2,0,Jonathan Moss
Aug 11 2018 - 4:30pm,Wolverhampton Wanderers,Everton,2,2,Craig Pawson
Aug 12 2018 - 12:30pm,Liverpool,West Ham United,4,0,Anthony Taylor
Aug 12 2018 - 12:30pm,Southampton,Burnley,0,0,Graham Scott
Aug 12 2018 - 3:00pm,Arsenal,Manchester City,0,2,Michael Oliver
Aug 18 2018 - 11:30am,Cardiff City,Newcastle United,0,0,Craig Pawson
Aug 18 2018 - 2:00pm,Everton,Southampton,2,1,Lee Mason
Aug 18 2018 - 2:00pm,Leicester City,Wolverhampton Wanderers,2,0,Mike Dean
Aug 18 2018 - 2:00pm,Tottenham Hotspur,Fulham,3,1,Anthony Taylor
Aug 18 2018 - 2:00pm,West Ham United,AFC Bournemouth,1,2,Stuart Attwell
Aug 18 2018 - 4:30pm,Chelsea,Arsenal,3,2,Martin Atkinson
Aug 19 2018 - 12:30pm,Burnley,Watford,1,3,Paul Tierney
Aug 19 2018 - 12:30pm,Manchester City,Huddersfield Town,6,1,Andre Marriner
Aug 19 2018 - 3:00pm,Brighton & Hove Albion,Manchester United,3,2,Kevin Friend
Aug 20 2018 - 7:00pm,Crystal Palace,Liverpool,0,2,Michael Oliver
Aug 25 2018 - 11:30am,Wolverhampton Wanderers,Manchester City,1,1,Martin Atkinson
Aug 25 2018 - 2:00pm,AFC Bournemouth,Everton,2,2,Lee Probert
Aug 25 2018 - 2:00pm,Arsenal,West Ham United,3,1,Graham Scott
Aug 25 2018 - 2:00pm,Huddersfield Town,Cardiff City,0,0,Michael Oliver
Aug 25 2018 - 2:00pm,Southampton,Leicester City,1,2,Jonathan Moss
Aug 25 2018 - 4:30pm,Liverpool,Brighton & Hove Albion,1,0,Chris Kavanagh
Aug 26 2018 - 12:30pm,Watford,Crystal Palace,2,1,Anthony Taylor
Aug 26 2018 - 3:00pm,Fulham,Burnley,4,2,David Coote
Aug 26 2018 - 3:00pm,Newcastle United,Chelsea,1,2,Paul Tierney
Aug 27 2018 - 7:00pm,Manchester United,Tottenham Hotspur,0,3,Craig Pawson
Sep 01 2018 - 11:30am,Leicester City,Liverpool,1,2,Paul Tierney
Sep 01 2018 - 2:00pm,Brighton & Hove Albion,Fulham,2,2,Lee Probert
Sep 01 2018 - 2:00pm,Chelsea,AFC Bournemouth,2,0,Lee Mason
Sep 01 2018 - 2:00pm,Crystal Palace,Southampton,0,2,Martin Atkinson
Sep 01 2018 - 2:00pm,Everton,Huddersfield Town,1,1,Stuart Attwell
Sep 01 2018 - 2:00pm,West Ham United,Wolverhampton Wanderers,0,1,Chris Kavanagh
Sep 01 2018 - 4:30pm,Manchester City,Newcastle United,2,1,Kevin Friend
Sep 02 2018 - 12:30pm,Cardiff City,Arsenal,2,3,Anthony Taylor
Sep 02 2018 - 3:00pm,Burnley,Manchester United,0,2,Jonathan Moss
